RowIndex,Meteorology_Total,SMG_Total,Meteorology_ObjectNames,SMG_ObjectNames,Meteorology_Makers,SMG_Makers,Meteorology_Materials,SMG_Materials,Meteorology_Dates,SMG_Dates,Meteorology_Places,SMG_Places,Meteorology_Descriptions,SMG_Descriptions,Meteorology_Other,SMG_Other,Unique_to_Meteorology,Unique_to_SMG
0,15,11,1,2,1,1,3,1,1,1,0,3,6,3,3,0,"{""object_names"": [], ""makers"": [], ""materials"": [""spherical bulb"", ""capillary tube"", ""brass scale""], ""dates"": [""latter part of the eighteenth century""], ""places"": [], ""descriptions"": [""mounted on a thick brass scale which is graduated in half degrees from $-20^{\\circ}$ to $535^{\\circ}$ F."", ""cut across at the $40^{\\circ}$ F. graduations, the lower portion being hinged to the upper"", ""standard points of reference"", ""freezing point of water"", ""boiling point of water"", ""melting point of tin""], ""other"": [""S.M. 1448"", ""L.S.""]}","{""object_names"": [""mercury thermometer""], ""makers"": [""Dollond family""], ""materials"": [], ""dates"": [""1875-1893""], ""places"": [""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""Fahrenheit (-10 to +530 degrees) thermometer"", ""Owned by the Royal Society, London"", ""Meteorology mercury thermometer""], ""other"": []}"
1,12,14,1,4,1,2,3,2,2,1,1,3,3,1,1,1,"{""object_names"": [""STANDARD MERCURIAL THERMOMETER""], ""makers"": [""G. J. Symons, Esq., F.R.S.""], ""materials"": [""mercury-in-glass"", ""spherical bulb"", ""capillary tube""], ""dates"": [""about the end of the eighteenth century""], ""places"": [], ""descriptions"": [""old standard thermometer"", ""long and fairly large capillary tube, thereby securing a wide temperature range"", ""upon which are indicated the melting and boiling points of various substances, and other fixed temperatures""], ""other"": [""Inv. 1893-139""]}","{""object_names"": [""thermometer"", ""mercury thermometer"", ""Meteorology mercury thermometer""], ""makers"": [""George Adams, London, England""], ""materials"": [""glazed mahogany case"", ""silvered scale""], ""dates"": [""1780-1800""], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""in glazed mahogany case"", ""range (-30 to +700 degrees Fahrenheit)""], ""other"": [""Adams, George""]}"
2,11,11,1,2,1,1,3,1,1,1,0,3,3,2,2,1,"{""object_names"": [""STANDARD MERCURIAL THERMOMETER""], ""makers"": [], ""materials"": [""brass scale"", ""mahogany box""], ""dates"": [""first half of the nineteenth century""], ""places"": [], ""descriptions"": [""mercury-in-glass thermometer"", ""mounted on a brass scale graduated in half degrees from $0^{\\circ}$ to $215^{\\circ}$ F."", ""enclosed in a mahogany box""], ""other"": [""R.S. No. 7"", ""Inv. 1893-136""]}","{""object_names"": [""Standard mercury thermometer"", ""Meteorology mercury thermometer""], ""makers"": [], ""materials"": [""mahogany case""], ""dates"": [""1826-1832""], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""marked instrument number 7"", ""mercury thermometer""], ""other"": [""Troughton & Simms, London""]}"
3,9,9,1,1,1,2,1,1,1,1,0,3,4,1,1,0,"{""object_names"": [""MERCURIAL THERMOMETER""], ""makers"": [""The Meteorological Office""], ""materials"": [""mercurial""], ""dates"": [], ""places"": [], ""descriptions"": [""The graduations range from $-60^{\\circ}$ to $+100^{\\circ}$ F."", ""There is no inscription at the back of the frame to show on what expeditions it was employed"", ""it is said to have been used on H.M.S. \u201cFox,\u201d"", ""in 1857""], ""other"": [""Inv. 1908-90""]}","{""object_names"": [""Mercury thermometer""], ""makers"": [""Pastorelli and Company""], ""materials"": [""Mercury""], ""dates"": [""1857""], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""Meteorology thermometer; thermometer""], ""other"": []}"
4,12,13,2,2,1,2,1,0,2,1,0,4,4,2,2,2,"{""object_names"": [""thermom\u00e8tre fronde""], ""makers"": [], ""materials"": [""perforated metal case"", ""silk cord""], ""dates"": [""1830"", ""1877""], ""places"": [], ""descriptions"": [""Modification by Arago"", ""instrument is a modification of the thermom\u00e8tre fronde originally designed by Arago for ascertaining the true temperature of the air without a thermometer screen"", ""The thermometer is enclosed in its perforated metal case, when it is rapidly swung above the head about six times by means of a silk cord."", ""The temperature indicated will then be found to be almost precisely that of a thermometer in a Stevenson screen. By this method more accurate results are obtainable than by exposure on stands of ordinary construction.""], ""other"": [""Lent by L. Casella, Esq."", ""Q. J. R. Met. Soc."", ""Inv. 1893-154""]}","{""object_names"": [""Sling thermometer""], ""makers"": [""L. Casella"", ""Louis P.; Renou""], ""materials"": [], ""dates"": [""1871-1879""], ""places"": [""London, England"", ""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""the \""thermom\u00e8tre fronde\"""", ""Meteorology sling thermometer""], ""other"": [""Casella"", ""Louis P.; Renou""]}"
5,13,7,1,1,1,1,1,0,2,1,2,0,5,2,1,2,"{""object_names"": [], ""makers"": [], ""materials"": [""Spirit""], ""dates"": [""1850\u201351"", ""1857\u201359""], ""places"": [""Arctic expeditions"", ""H.M.S. \u201cResolute\u201d (Captain Sir H. Austin, R.N.)"", ""H.M.S. \u201cFox\u201d (Captain, afterwards Admiral, Sir F. L. McClintock, R.N.)""], ""descriptions"": [""graduated from $-60^{\\circ}$ to $+120^{\\circ}$ F."", ""used in Arctic expeditions"", ""On the back is written :\u2014 \u201cThis thermometer being nearly a mean of 11 others tried at temperatures varying between zero and -46\u00b0 was selected as a standard for the winter, and was placed accordingly on the fixed ice 15 yards from the ship. It is thus marked in order that comparative measures may hereafter be made with it as also any with reference to the journal kept by the officers of Resolute. \u201cThis Ther. shewing on several occasions -39\u00b0, mercury began to con- solidate, -39.5\u00b0 it was no longer in a fluid state, and at 40\u00b0 it could have been propelled by powder. H.M. \u2018Resolute,\u2019 7th October, 1851, Horatio Austin.\u201d"", ""Fox Yacht, 1857\u20139.\u201d"", ""Lent by The Meteorological Office.""], ""other"": [""Inv. 1908-91""]}","{""object_names"": [], ""makers"": [], ""materials"": [], ""dates"": [""1849""], ""places"": [], ""descriptions"": [""graduated from -60 degrees F. to +120 degrees F."", ""Meteorology thermometer; thermometer""], ""other"": [""Pastorelli and Company""]}"
6,9,9,1,1,1,2,0,0,2,1,0,4,3,1,2,0,"{""object_names"": [], ""makers"": [], ""materials"": [], ""dates"": [""1850\u201351"", ""1857\u20139""], ""places"": [], ""descriptions"": [""Graduated from -90\u00b0 to +100\u00b0 F."", ""At the back it is inscribed :\u2014\u201cThis thermometer was used on board the Arctic ship \u2018Assistance\u2019 during the winter of 1850\u201351 for registering the temperature of the air on deck. 9th August, 1851.\u201d"", ""Fox Yacht""], ""other"": [""Inv. 1908-92"", ""Lent by The Meteorological Office""]}","{""object_names"": [], ""makers"": [""John Frederick Newman""], ""materials"": [], ""dates"": [""1850""], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""Meteorology thermometer; thermometer""], ""other"": []}"
7,8,7,1,1,1,2,1,0,2,1,0,0,2,2,1,1,"{""object_names"": [], ""makers"": [], ""materials"": [""Spirit""], ""dates"": [""1883\u20134""], ""places"": [], ""descriptions"": [""The graduations range from -70\u00b0 to +120\u00b0 F."", ""It is marked at the back:\u2014\u201cUsed by Sir Geo. Nares, 1883\u20134.\u201d""], ""other"": [""Inv. 1908-93""]}","{""object_names"": [], ""makers"": [""James Joseph""], ""materials"": [], ""dates"": [""1883""], ""places"": [], ""descriptions"": [""Meteorology thermometer; thermometer""], ""other"": []}"
8,12,8,3,1,1,1,1,1,1,1,0,0,5,2,1,2,"{""object_names"": [""experimental mercury-in-glass thermometers"", ""longest instrument"", ""smallest one""], ""makers"": [], ""materials"": [""glass""], ""dates"": [], ""places"": [], ""descriptions"": [""of unique design"", ""Each instrument possesses a central bulb and two stems, which are differently disposed in the three cases."", ""a large bulb lies between the two portions of a capillary tube 19 3/8 in. long"", ""the bulb is situated at the lowest point of a U-tube, formed by two stems of different bore, one of them being enamelled behind the mercury column."", ""the bulb is situated at the lower extremity of one of the stems, the second stem joining the first one about 3/8 in. above the bulb, the two stems being parallel and about 3/8 in. apart.""], ""other"": [""Inv. 1915-153""]}","{""object_names"": [""mercury thermometers""], ""makers"": [], ""materials"": [], ""dates"": [""1856""], ""places"": [], ""descriptions"": [""scales not divided""], ""other"": [""Meteorology thermometers"", ""thermometers""]}"
9,6,5,1,1,1,1,0,0,1,1,0,0,2,2,1,0,"{""object_names"": [], ""makers"": [], ""materials"": [], ""dates"": [], ""places"": [], ""descriptions"": [""designed by Mr. Stanley in 1876 for registering temperature cumulatively"", ""An increase of temperature of 1\u00b0 F. is found to accelerate the clock by 17\u00b75 beats per day""], ""other"": [""Inv. 1886-77""]}","{""object_names"": [], ""makers"": [], ""materials"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Meteorology chronothermometer""], ""other"": []}"
